value,valueLabel,ct,sampleitem,sampleitemLabel
http://www.wikidata.org/entity/Q102251,Sephardi Jews,24,http://www.wikidata.org/entity/Q3050694,Elena Benarroch
http://www.wikidata.org/entity/Q17074661,Karay-a people,24,http://www.wikidata.org/entity/Q24852423,Manny Piñol
http://www.wikidata.org/entity/Q200569,Dutch,24,http://www.wikidata.org/entity/Q2307798,Alphonse Olterdissen
http://www.wikidata.org/entity/Q32360797,Russian Jews,24,http://www.wikidata.org/entity/Q1698,Serge Gainsbourg
http://www.wikidata.org/entity/Q117191,Cree,22,http://www.wikidata.org/entity/Q98590661,Eleanor Brass
http://www.wikidata.org/entity/Q133032,Hungarians,22,http://www.wikidata.org/entity/Q150312,Amrita Sher-Gil
http://www.wikidata.org/entity/Q1318423,Australians,21,http://www.wikidata.org/entity/Q373998,Mark Coleridge
http://www.wikidata.org/entity/Q2526737,Kapampangan people,21,http://www.wikidata.org/entity/Q2337910,Artemio Panganiban
http://www.wikidata.org/entity/Q51705,Muscogee,21,http://www.wikidata.org/entity/Q45534,Woody Crumbo
http://www.wikidata.org/entity/Q116971,Mohawk people,20,http://www.wikidata.org/entity/Q292146,Beth Brant
http://www.wikidata.org/entity/Q107434,Sioux,19,http://www.wikidata.org/entity/Q4877178,Beatrice Medicine
http://www.wikidata.org/entity/Q1286876,Maltese,19,http://www.wikidata.org/entity/Q1066032,Charles J. Scicluna
http://www.wikidata.org/entity/Q133255,Bulgarians,19,http://www.wikidata.org/entity/Q371265,Joseph I of Bulgaria
http://www.wikidata.org/entity/Q173302,Estonians,18,http://www.wikidata.org/entity/Q237056,Lydia Koidula
http://www.wikidata.org/entity/Q484464,Koreans,18,http://www.wikidata.org/entity/Q41117,Kim Il-sung
http://www.wikidata.org/entity/Q45315,Berbers,18,http://www.wikidata.org/entity/Q266239,Corippus
http://www.wikidata.org/entity/Q117100,Kiowa people,17,http://www.wikidata.org/entity/Q486933,Lone Wolf
http://www.wikidata.org/entity/Q117255,Hopi people,17,http://www.wikidata.org/entity/Q21979448,Daisy Hooee Nampeyo
http://www.wikidata.org/entity/Q48199,Sámi people,17,http://www.wikidata.org/entity/Q1933,Anja Pärson
http://www.wikidata.org/entity/Q49297,Native Americans in the United States,17,http://www.wikidata.org/entity/Q453666,Chief Joseph
http://www.wikidata.org/entity/Q117458,Crimean Tatars,16,http://www.wikidata.org/entity/Q470325,Amet-khan Sultan
http://www.wikidata.org/entity/Q171336,Slovaks,16,http://www.wikidata.org/entity/Q235704,Kyla Cole
http://www.wikidata.org/entity/Q191356,Icelanders,16,http://www.wikidata.org/entity/Q1645115,Karl Sigurbjörnsson
http://www.wikidata.org/entity/Q1146100,Chinese Americans,15,http://www.wikidata.org/entity/Q21467055,Tseng Yu-ho
http://www.wikidata.org/entity/Q2325516,Armenian American,15,http://www.wikidata.org/entity/Q26318,Rob Kardashian
http://www.wikidata.org/entity/Q8060,Romani,15,http://www.wikidata.org/entity/Q292036,Anca Parghel
http://www.wikidata.org/entity/Q170355,Indigenous Australians,14,http://www.wikidata.org/entity/Q107489055,Elsie Heiss
http://www.wikidata.org/entity/Q201190,Palestinians,14,http://www.wikidata.org/entity/Q4055170,Abu Salma
http://www.wikidata.org/entity/Q2527423,Ilocano people,14,http://www.wikidata.org/entity/Q2399446,Chavit Singson
http://www.wikidata.org/entity/Q2643509,Indian Americans,14,http://www.wikidata.org/entity/Q3474456,Savan Kotecha
http://www.wikidata.org/entity/Q332976,Miskitos,14,http://www.wikidata.org/entity/Q8011936,William Henry Clarence
http://www.wikidata.org/entity/Q482942,Azerbaijanis,14,http://www.wikidata.org/entity/Q971232,Farhad Khalilov
http://www.wikidata.org/entity/Q704608,Turks in Germany,14,http://www.wikidata.org/entity/Q19936977,Serkan Çayoğlu
http://www.wikidata.org/entity/Q84072,Turks,14,http://www.wikidata.org/entity/Q4982083,Meral Tasbas
http://www.wikidata.org/entity/Q1150312,Greek American,13,http://www.wikidata.org/entity/Q229465,Kalomira
http://www.wikidata.org/entity/Q1283606,Native Hawaiians,13,http://www.wikidata.org/entity/Q5115513,Chuck Hazama
http://www.wikidata.org/entity/Q1365830,Romani people in Spain,13,http://www.wikidata.org/entity/Q127481,Tony Gatlif
http://www.wikidata.org/entity/Q179248,Albanians,13,http://www.wikidata.org/entity/Q16348636,Androniqi Zengo Antoniu
http://www.wikidata.org/entity/Q188353,Welsh people,13,http://www.wikidata.org/entity/Q230594,Mary Hopkin
http://www.wikidata.org/entity/Q1984414,Ngāti Porou,13,http://www.wikidata.org/entity/Q618651,Āpirana Ngata
http://www.wikidata.org/entity/Q216151,Vietnamese people,13,http://www.wikidata.org/entity/Q714138,Paul Joseph Phạm Đình Tụng
http://www.wikidata.org/entity/Q237534,Austrians,13,http://www.wikidata.org/entity/Q672923,Maximilian Joseph von Tarnóczy
http://www.wikidata.org/entity/Q276879,Korean American,13,http://www.wikidata.org/entity/Q105538243,Audrey Nuna
http://www.wikidata.org/entity/Q324516,Choctaw,13,http://www.wikidata.org/entity/Q20551592,Besmilr Brigham
http://www.wikidata.org/entity/Q36747,indigenous peoples of the Americas,13,http://www.wikidata.org/entity/Q11953798,Two Guns White Calf
http://www.wikidata.org/entity/Q1135531,Samoans,12,http://www.wikidata.org/entity/Q4795481,Aroha Awarau
http://www.wikidata.org/entity/Q178630,Portuguese,12,http://www.wikidata.org/entity/Q45043,José Policarpo
http://www.wikidata.org/entity/Q2219658,San Ildefonso Pueblo,12,http://www.wikidata.org/entity/Q55218461,Popovi Da
http://www.wikidata.org/entity/Q242485,Flemings,12,http://www.wikidata.org/entity/Q565834,Anne Teresa De Keersmaeker
http://www.wikidata.org/entity/Q392316,First Nations,12,http://www.wikidata.org/entity/Q957119,Ethel Blondin-Andrew
http://www.wikidata.org/entity/Q483569,Belarusians,12,http://www.wikidata.org/entity/Q131259,Alexander Rybak
http://www.wikidata.org/entity/Q6935055,Multiracial American,12,http://www.wikidata.org/entity/Q188955,Matthew McConaughey
http://www.wikidata.org/entity/Q10312754,Japanese Canadians,11,http://www.wikidata.org/entity/Q6837231,Michelle Sagara
http://www.wikidata.org/entity/Q1113048,Iranian American,11,http://www.wikidata.org/entity/Q7366518,Roosh V
http://www.wikidata.org/entity/Q141817,German Americans,11,http://www.wikidata.org/entity/Q77144,Leo Strauss
http://www.wikidata.org/entity/Q1464994,Latino,11,http://www.wikidata.org/entity/Q2086261,Phil Jimenez
http://www.wikidata.org/entity/Q157139,Baltic Germans,11,http://www.wikidata.org/entity/Q57190,Karl Ernst von Baer
http://www.wikidata.org/entity/Q1672477,Iranian people,11,http://www.wikidata.org/entity/Q12054190,Shirana Shahbazi
http://www.wikidata.org/entity/Q178484,Mapuches,11,http://www.wikidata.org/entity/Q2834759,Elicura Chihuailaf
http://www.wikidata.org/entity/Q501837,Mizrahi Jews,11,http://www.wikidata.org/entity/Q96745600,Ilay Madmon
http://www.wikidata.org/entity/Q57026211,Chinese,11,http://www.wikidata.org/entity/Q561952,Han Gan
http://www.wikidata.org/entity/Q727928,Asian Americans,11,http://www.wikidata.org/entity/Q92852935,Abigail Hing Wen
http://www.wikidata.org/entity/Q871904,New Zealanders,11,http://www.wikidata.org/entity/Q18572371,Stephen Lowe
http://www.wikidata.org/entity/Q1209676,Mexicans,10,http://www.wikidata.org/entity/Q918307,Juan Jesús Posadas Ocampo
http://www.wikidata.org/entity/Q1983634,Odia people,10,http://www.wikidata.org/entity/Q4900848,Bhakta Charan Das
http://www.wikidata.org/entity/Q1996477,Noongar people,10,http://www.wikidata.org/entity/Q6528971,Leroy Jetta
http://www.wikidata.org/entity/Q201111,Aromanians,10,http://www.wikidata.org/entity/Q583539,Alcibiades Diamandi
http://www.wikidata.org/entity/Q202575,Fulbe people,10,http://www.wikidata.org/entity/Q452269,Amadou Cissé
http://www.wikidata.org/entity/Q288809,Efik people,10,http://www.wikidata.org/entity/Q23540965,Angela Ekaette
http://www.wikidata.org/entity/Q3244280,Black British,10,http://www.wikidata.org/entity/Q7561695,Sonia Boyce
http://www.wikidata.org/entity/Q484206,Persians,10,http://www.wikidata.org/entity/Q131152,Shirin Ebadi
http://www.wikidata.org/entity/Q528981,Ijaw people,10,http://www.wikidata.org/entity/Q57380,Goodluck Jonathan
http://www.wikidata.org/entity/Q41975,Mongols,10,http://www.wikidata.org/entity/Q13217662,Saertuke Changling
http://www.wikidata.org/entity/Q49209,Javanese,10,http://www.wikidata.org/entity/Q661401,Hamengkubuwono VIII
http://www.wikidata.org/entity/Q58669,Hispanic and Latino Americans,10,http://www.wikidata.org/entity/Q309888,Fat Joe
http://www.wikidata.org/entity/Q117133,Comanche,9,http://www.wikidata.org/entity/Q22005072,Rance Hood
http://www.wikidata.org/entity/Q124216,Swiss,9,http://www.wikidata.org/entity/Q483437,Sepp Blatter
http://www.wikidata.org/entity/Q1283558,Ngāpuhi,9,http://www.wikidata.org/entity/Q1763959,Waka Nathan
http://www.wikidata.org/entity/Q1369944,French Americans,9,http://www.wikidata.org/entity/Q42313158,Christopher Emery
http://www.wikidata.org/entity/Q1377716,Belgians,9,http://www.wikidata.org/entity/Q158840,James Ensor
http://www.wikidata.org/entity/Q1790886,Cuban American,9,http://www.wikidata.org/entity/Q463639,Ana Mendieta
http://www.wikidata.org/entity/Q213422,Seneca,9,http://www.wikidata.org/entity/Q320426,Handsome Lake
http://www.wikidata.org/entity/Q2426677,Iranian Azerbaijanis,9,http://www.wikidata.org/entity/Q16053240,Abdul-Nasser Hemmati
http://www.wikidata.org/entity/Q3476361,Scottish American,9,http://www.wikidata.org/entity/Q186304,Kim Kardashian
http://www.wikidata.org/entity/Q377085,Assyrian people,9,http://www.wikidata.org/entity/Q352813,Addai II Giwargis
http://www.wikidata.org/entity/Q4131845,Haitians,9,http://www.wikidata.org/entity/Q1071759,Chibly Langlois
http://www.wikidata.org/entity/Q68518,Haudenosaunee Confederacy,9,http://www.wikidata.org/entity/Q734339,Henry Armstrong
http://www.wikidata.org/entity/Q49540,Latvians,9,http://www.wikidata.org/entity/Q661737,Eduard von der Ropp
http://www.wikidata.org/entity/Q21,England,8,http://www.wikidata.org/entity/Q3525553,Thomas Savage
http://www.wikidata.org/entity/Q1344183,English American,8,http://www.wikidata.org/entity/Q186304,Kim Kardashian
http://www.wikidata.org/entity/Q1413685,Filipino Americans,8,http://www.wikidata.org/entity/Q87515454,Flora Arca Mata
http://www.wikidata.org/entity/Q1673765,Skolts,8,http://www.wikidata.org/entity/Q11870373,Katja Gauriloff
http://www.wikidata.org/entity/Q186192,Lithuanians,8,http://www.wikidata.org/entity/Q363949,Jonas Basanavičius
http://www.wikidata.org/entity/Q2050339,Afro Caribbeans,8,http://www.wikidata.org/entity/Q18875378,Celestine Edwards
http://www.wikidata.org/entity/Q218332,Khitan people,8,http://www.wikidata.org/entity/Q907847,Shulü Ping
http://www.wikidata.org/entity/Q2993629,Urhobo people,8,http://www.wikidata.org/entity/Q5290614,Dominic Oneya
http://www.wikidata.org/entity/Q322951,Cheyennes,8,http://www.wikidata.org/entity/Q104398327,Lorenzo Beard
http://www.wikidata.org/entity/Q331789,Crow Nation,8,http://www.wikidata.org/entity/Q7242284,Pretty Shield
http://www.wikidata.org/entity/Q474202,Seminole,8,http://www.wikidata.org/entity/Q2119977,John Horse
http://www.wikidata.org/entity/Q536129,Tlingit,8,http://www.wikidata.org/entity/Q448138,Nora Marks Dauenhauer
http://www.wikidata.org/entity/Q543386,Oglala Lakota,8,http://www.wikidata.org/entity/Q4795255,Arnold Short Bull
http://www.wikidata.org/entity/Q7032863,Nigerian American,8,http://www.wikidata.org/entity/Q66015238,Ngozi Ukazu
http://www.wikidata.org/entity/Q18973,Georgians,8,http://www.wikidata.org/entity/Q1566136,Valeriy Chechelashvili
http://www.wikidata.org/entity/Q46118,Uyghur,8,http://www.wikidata.org/entity/Q3237694,Dilber Yunus
http://www.wikidata.org/entity/Q1056744,Italian Argentines,7,http://www.wikidata.org/entity/Q615,Lionel Messi
http://www.wikidata.org/entity/Q1058496,Dutch Americans,7,http://www.wikidata.org/entity/Q43203,Clint Eastwood
http://www.wikidata.org/entity/Q1138165,Ngāti Kahungunu,7,http://www.wikidata.org/entity/Q4251161,James Carroll
http://www.wikidata.org/entity/Q115026,Swedish Americans,7,http://www.wikidata.org/entity/Q316022,Harry Nyquist
http://www.wikidata.org/entity/Q1189552,Polish Americans,7,http://www.wikidata.org/entity/Q222134,Ted Kaczynski
http://www.wikidata.org/entity/Q1287326,Edo people,7,http://www.wikidata.org/entity/Q5576962,Godwin Abbe
http://www.wikidata.org/entity/Q1378555,multiracial people,7,http://www.wikidata.org/entity/Q67200786,Rowan Metcalfe
http://www.wikidata.org/entity/Q146076,Zenata,7,http://www.wikidata.org/entity/Q335476,Abu Yaqub Yusuf an-Nasr
http://www.wikidata.org/entity/Q1945786,Chinese Indonesians,7,http://www.wikidata.org/entity/Q732135,Chrisye
http://www.wikidata.org/entity/Q2365041,Argentines,7,http://www.wikidata.org/entity/Q18921630,Juan DeBiedma
http://www.wikidata.org/entity/Q2436423,Macedonians,7,http://www.wikidata.org/entity/Q220579,Zoran Zaev
http://www.wikidata.org/entity/Q2556103,Pashtuns,7,http://www.wikidata.org/entity/Q1571670,Ashfaqulla Khan
http://www.wikidata.org/entity/Q28195536,Romanian Jews,7,http://www.wikidata.org/entity/Q6762000,Marian Vanghelie
http://www.wikidata.org/entity/Q365539,Black Canadians,7,http://www.wikidata.org/entity/Q105701982,Anna Minerva Henderson
http://www.wikidata.org/entity/Q388264,Blackfoot Confederacy,7,http://www.wikidata.org/entity/Q24191513,Natawista Iksina
http://www.wikidata.org/entity/Q4065203,English Australian,7,http://www.wikidata.org/entity/Q84056,Ashleigh Barty
http://www.wikidata.org/entity/Q7023290,Ngāti Tūwharetoa,7,http://www.wikidata.org/entity/Q62268930,Maiangi Waitai
http://www.wikidata.org/entity/Q33578,Igbo,7,http://www.wikidata.org/entity/Q42534669,Ada Osakwe
http://www.wikidata.org/entity/Q35565,Tatars,7,http://www.wikidata.org/entity/Q74746,Elvira Nabiullina
http://www.wikidata.org/entity/Q102090,Apache,6,http://www.wikidata.org/entity/Q6850953,Mildred Cleghorn
http://www.wikidata.org/entity/Q104416444,Taos people,6,http://www.wikidata.org/entity/Q5561076,Gilbert Luján
http://www.wikidata.org/entity/Q104440625,Santa Clara Pueblo,6,http://www.wikidata.org/entity/Q6285004,Joseph Lonewolf
http://www.wikidata.org/entity/Q11858947,Southern Sámi people,6,http://www.wikidata.org/entity/Q4941455,Louise Bäckman
http://www.wikidata.org/entity/Q1235705,Tiv people,6,http://www.wikidata.org/entity/Q6243428,John Kpera
http://www.wikidata.org/entity/Q1250849,Pākehā,6,http://www.wikidata.org/entity/Q7553651,Sofia Minson
http://www.wikidata.org/entity/Q1572875,Oneida,6,http://www.wikidata.org/entity/Q311169,Graham Greene
http://www.wikidata.org/entity/Q1655283,Tausug people,6,http://www.wikidata.org/entity/Q21004570,Jamālul Kirām II
http://www.wikidata.org/entity/Q1754891,Ponca,6,http://www.wikidata.org/entity/Q533721,Susette LaFlesche Tibbles
http://www.wikidata.org/entity/Q1984412,Ngāti Maniapoto,6,http://www.wikidata.org/entity/Q5275637,Diggeress Te Kanawa
http://www.wikidata.org/entity/Q2995285,Brancos,6,http://www.wikidata.org/entity/Q744798,Ciro Gomes
http://www.wikidata.org/entity/Q371230,Ngāi Tahu,6,http://www.wikidata.org/entity/Q104766229,Sonja Macfarlane
http://www.wikidata.org/entity/Q495751,Mi’kmaw,6,http://www.wikidata.org/entity/Q459256,Anna Mae Aquash
http://www.wikidata.org/entity/Q6501380,Chinese people,6,http://www.wikidata.org/entity/Q1365620,José Lai
http://www.wikidata.org/entity/Q711083,Koryo-saram,6,http://www.wikidata.org/entity/Q487649,Anatoli Kim
http://www.wikidata.org/entity/Q7125803,Pakistani American,6,http://www.wikidata.org/entity/Q108602003,Salman Toor
http://www.wikidata.org/entity/Q7435494,Scotch-Irish Americans,6,http://www.wikidata.org/entity/Q1350196,Francis Preston Blair
http://www.wikidata.org/entity/Q864717,Te Arawa,6,http://www.wikidata.org/entity/Q19282054,Emily Schuster
http://www.wikidata.org/entity/Q86735,Afro-Germans,6,http://www.wikidata.org/entity/Q48601703,Hadija Haruna-Oelker
http://www.wikidata.org/entity/Q15863,Slovenes,6,http://www.wikidata.org/entity/Q45502,Anton Stres
http://www.wikidata.org/entity/Q56475,Hausa,6,http://www.wikidata.org/entity/Q6933618,Muktar Muhammed
http://www.wikidata.org/entity/Q1065371,Italian Brazilians,5,http://www.wikidata.org/entity/Q1797310,Paulo Vanzolini
http://www.wikidata.org/entity/Q1165171,Iraqi Turkmens,5,http://www.wikidata.org/entity/Q4984729,Lütfi Kırdar
http://www.wikidata.org/entity/Q1195125,Cubans,5,http://www.wikidata.org/entity/Q7159722,Pedro Luis Díaz Lanz
http://www.wikidata.org/entity/Q1200528,Malaysian Chinese,5,http://www.wikidata.org/entity/Q717075,Namewee
http://www.wikidata.org/entity/Q120601,Omaha people,5,http://www.wikidata.org/entity/Q533721,Susette LaFlesche Tibbles
http://www.wikidata.org/entity/Q1293737,Bicolano people,5,http://www.wikidata.org/entity/Q1982021,Vicente Madrigal
http://www.wikidata.org/entity/Q1307911,chicano,5,http://www.wikidata.org/entity/Q6480547,Lalo Alcaraz
http://www.wikidata.org/entity/Q130900,Lombards,5,http://www.wikidata.org/entity/Q226984,Zotto
http://www.wikidata.org/entity/Q1421205,Lithuanian Jews,5,http://www.wikidata.org/entity/Q271187,Clara Rockmore
http://www.wikidata.org/entity/Q16155102,Nigerians,5,http://www.wikidata.org/entity/Q73667931,Musa Filibus
http://www.wikidata.org/entity/Q187985,Tibetan people,5,http://www.wikidata.org/entity/Q1204117,Tsering Woeser
http://www.wikidata.org/entity/Q1929613,Pomo people,5,http://www.wikidata.org/entity/Q60198069,Mary Knight Benson
http://www.wikidata.org/entity/Q1956640,Anishinaabe,5,http://www.wikidata.org/entity/Q4704071,Al Hunter
http://www.wikidata.org/entity/Q1974818,Tewa people,5,http://www.wikidata.org/entity/Q2660929,Maria Martinez
http://www.wikidata.org/entity/Q212106,Dinka people,5,http://www.wikidata.org/entity/Q3379134,Rebecca Nyandeng De Mabior
http://www.wikidata.org/entity/Q2657969,Vietnamese Americans,5,http://www.wikidata.org/entity/Q6120173,Jacqueline Nguyen
http://www.wikidata.org/entity/Q2685033,Tukkers,5,http://www.wikidata.org/entity/Q2496231,Tom Egbers
http://www.wikidata.org/entity/Q3310017,Pakistanis,5,http://www.wikidata.org/entity/Q1912773,Max John Rodrigues
http://www.wikidata.org/entity/Q333049,Lakota people,5,http://www.wikidata.org/entity/Q436655,Black Elk
http://www.wikidata.org/entity/Q497568,Innu people,5,http://www.wikidata.org/entity/Q50531096,Marie-Andrée Gill
http://www.wikidata.org/entity/Q6127409,Jamaican American,5,http://www.wikidata.org/entity/Q194781,Noel Jones
http://www.wikidata.org/entity/Q625438,Rakhine,5,http://www.wikidata.org/entity/Q19739599,Aye Tha Aung
http://www.wikidata.org/entity/Q63075063,Ukrainian Jews,5,http://www.wikidata.org/entity/Q33391,Leon Trotsky
http://www.wikidata.org/entity/Q6510842,Lebanese American,5,http://www.wikidata.org/entity/Q540784,William Peter Blatty
http://www.wikidata.org/entity/Q682597,Kipchaks,5,http://www.wikidata.org/entity/Q192960,Baibars
http://www.wikidata.org/entity/Q7691020,Whakatōhea,5,http://www.wikidata.org/entity/Q5441776,Felicity Abbott
http://www.wikidata.org/entity/Q854323,Punjabis,5,http://www.wikidata.org/entity/Q20605168,Amarjit Chandan
http://www.wikidata.org/entity/Q857880,French Canadians,5,http://www.wikidata.org/entity/Q19848,Lady Gaga
http://www.wikidata.org/entity/Q925772,Ohkay Owingeh,5,http://www.wikidata.org/entity/Q23071178,Geronima Cruz Montoya
http://www.wikidata.org/entity/Q56587,Feylis,5,http://www.wikidata.org/entity/Q308485,Abdul-Wahid Aziz
http://www.wikidata.org/entity/Q56975,Arbëreshë,5,http://www.wikidata.org/entity/Q346053,Sotir Ferrara
http://www.wikidata.org/entity/Q1065583,Potawatomi,4,http://www.wikidata.org/entity/Q45534,Woody Crumbo
http://www.wikidata.org/entity/Q1074730,Chiricahua,4,http://www.wikidata.org/entity/Q1963825,Naiche
http://www.wikidata.org/entity/Q110886759,Lebanese French,4,http://www.wikidata.org/entity/Q1183745,Naji Hakim
http://www.wikidata.org/entity/Q115842165,Afro-Catalan,4,http://www.wikidata.org/entity/Q2396294,Najat El Hachmi
http://www.wikidata.org/entity/Q126756,Basque people,4,http://www.wikidata.org/entity/Q3756904,Pete T. Cenarrusa
http://www.wikidata.org/entity/Q129962,Zulu people,4,http://www.wikidata.org/entity/Q380403,Cetshwayo kaMpande
http://www.wikidata.org/entity/Q1431089,Croats of Bosnia and Herzegovina,4,http://www.wikidata.org/entity/Q3066243,Ivan Šarić
http://www.wikidata.org/entity/Q148004,Zarma people,4,http://www.wikidata.org/entity/Q132293,Barcourgné Courmo
http://www.wikidata.org/entity/Q1520094,Hunkpapa,4,http://www.wikidata.org/entity/Q43527,Sitting Bull
http://www.wikidata.org/entity/Q1537653,Ho-Chunk,4,http://www.wikidata.org/entity/Q4762120,Angel De Cora
